,ID,Location,Area,Bedroom,Bathroom,Frontage,Floors,Price
112,268430,"Hà Đông, Hà Nội",30,2,2,0,2,1.55 triệu
113,268429,"Thanh Xuân, Hà Nội",68,4,3,0,4,10.6 tỷ
114,268428,"Sơn Trà, Đà Nẵng",60,2,NULL,0,3,2.8 tỷ
115,268425,"Thanh Xuân, Hà Nội",36,9,NULL,0,6,5.3 tỷ
116,268424,"Thanh Xuân, Hà Nội",36,2,NULL,1,5,4.35 tỷ
117,268423,"Gò Vấp, TP Hồ Chí Minh",35,3,3,1,3,4.85 tỷ
118,268422,"Thanh Xuân, Hà Nội",42,4,NULL,0,5,5.75 tỷ
119,268421,"Hồng Bàng, Hải Phòng",50,1,1,1,1,8.3 tỷ
120,268420,"Thanh Xuân, Hà Nội",56,4,NULL,1,4,5.45 tỷ
121,268418,"Bến Cát, Bình Dương",70,2,2,0,NULL,580 triệu
122,268417,"Long Biên, Hà Nội",140,NULL,NULL,0,NULL,16.8 tỷ
123,268413,"Gò Vấp, TP Hồ Chí Minh",44,3,3,0,3,4.7 tỷ
124,268408,"Quận 9, TP Hồ Chí Minh",50,2,2,0,2,3300000 tỷ
125,268407,"Tân Phú, TP Hồ Chí Minh",62,4,4,1,4,7.5 tỷ
126,268406,"Tân Phú, TP Hồ Chí Minh",46,3,2,1,2,4.95 tỷ
127,268405,"Cầu Giấy, Hà Nội",80,2,8,1,9,29 tỷ
128,268404,"Lê Chân, Hải Phòng",61,2,2,1,2,14.2 tỷ
129,268403,"Tân Phú, TP Hồ Chí Minh",78,5,NULL,1,6,12.3 tỷ
130,268399,"Tân Phú, TP Hồ Chí Minh",46,2,2,0,2,3.19 tỷ
131,268398,"Gò Vấp, TP Hồ Chí Minh",28,2,2,0,NULL,Thỏa thuận
132,268397,"Phú Nhuận, TP Hồ Chí Minh",50,3,2,1,2,4.5 tỷ
133,268396,"Đức Hòa, Long An",100,2,2,0,3,800 triệu
134,268391,"Gò Vấp, TP Hồ Chí Minh",63,4,5,0,4,8.4 tỷ
135,268389,"Đống Đa, Hà Nội",35,4,4,1,4,3.5 tỷ
136,268385,"Quận 9, TP Hồ Chí Minh",80,NULL,NULL,0,3,3.9 tỷ
137,268384,"Quận 9, TP Hồ Chí Minh",80,NULL,NULL,0,3,3.9 tỷ
138,268383,"Huế, Thừa Thiên Huế",125,4,3,0,3,2500000 tỷ
139,268382,"Cầu Giấy, Hà Nội",32,4,2,1,5,3.85 tỷ
140,268381,"Cầu Giấy, Hà Nội",35,6,NULL,0,6,6.15 tỷ
141,268379,"Đống Đa, Hà Nội",50,6,4,1,5,6.2 tỷ
142,268378,"Bình Tân, TP Hồ Chí Minh",80,4,4,1,7,6.1 tỷ
143,268377,"Hoàng Mai, Hà Nội",190,6,6,1,4,35 tỷ
144,268376,"Cầu Giấy, Hà Nội",15,2,2,0,4,1.8 tỷ
145,268374,"Hà Đông, Hà Nội",37,4,3,0,4,2.8 tỷ
146,268372,"Gò Vấp, TP Hồ Chí Minh",21,2,NULL,0,2,2.46 tỷ
147,268371,"Thanh Xuân, Hà Nội",42,NULL,NULL,0,NULL,Thỏa thuận
148,268368,"Bình Tân, TP Hồ Chí Minh",76,6,5,0,4,6.1 tỷ
149,268367,"Bình Tân, TP Hồ Chí Minh",48,NULL,NULL,0,5,5.5 tỷ
150,268366,"Bình Tân, TP Hồ Chí Minh",48,NULL,NULL,0,5,5.5 tỷ
151,268363,"Lê Chân, Hải Phòng",41,4,3,0,4,4.1 tỷ
152,268362,"Long Biên, Hà Nội",60,4,6,1,6,11500000000 tỷ
153,268360,"Bình Tân, TP Hồ Chí Minh",60,3,4,1,5,4.8 tỷ
154,268359,"Long Biên, Hà Nội",62,NULL,NULL,1,8,5.8 tỷ
155,268356,"Thủ Đức, TP Hồ Chí Minh",78,2,NULL,1,2,6800000 tỷ
156,268353,"Thủ Đức, TP Hồ Chí Minh",98,NULL,NULL,0,NULL,4.2 tỷ
157,268351,"Phú Nhuận, TP Hồ Chí Minh",64,5,5,0,4,13.5 tỷ
158,268350,"Tân Phú, TP Hồ Chí Minh",47,2,NULL,0,2,Thỏa thuận
159,268349,"Phú Nhuận, TP Hồ Chí Minh",64,5,5,0,4,13.5 tỷ
160,268347,"Biên Hòa, Đồng Nai",110,2,2,0,NULL,2.7 tỷ
161,268344,"Thủ Đức, TP Hồ Chí Minh",50,2,NULL,0,2,4700000 tỷ
162,268342,"Hà Đông, Hà Nội",48,4,3,0,5,6.7 tỷ
163,268339,"Bình Thạnh, TP Hồ Chí Minh",44,3,4,0,8,6.7 tỷ
164,268337,"Nam Từ Liêm, Hà Nội",33,NULL,3,0,NULL,3.9 tỷ
165,268336,"Đống Đa, Hà Nội",60,2,NULL,1,5,Thỏa thuận
166,268335,"Đống Đa, Hà Nội",50,NULL,NULL,1,7,Thỏa thuận
167,268334,"Bình Thạnh, TP Hồ Chí Minh",63,3,3,0,2,7.5 tỷ
168,268333,"Thủ Đức, TP Hồ Chí Minh",77,2,NULL,1,2,Thỏa thuận
169,268332,"Tân Bình, TP Hồ Chí Minh",69,7,7,0,4,8.2 tỷ
170,268331,"Thủ Đức, TP Hồ Chí Minh",133,2,1,0,NULL,6.6 tỷ
171,268330,"Cầu Giấy, Hà Nội",52,3,4,0,NULL,5.85 tỷ
172,268329,"Từ Sơn, Bắc Ninh",75,NULL,NULL,0,4,5.1 tỷ
173,268327,"Quận 3, TP Hồ Chí Minh",24,2,2,0,3,Thỏa thuận
174,268325,"Gò Vấp, TP Hồ Chí Minh",52,3,2,0,3,4.9 tỷ
175,268324,"Phan Rang - Tháp Chàm, Ninh Thuận",200,NULL,NULL,0,NULL,Thỏa thuận
176,268323,"Quận 3, TP Hồ Chí Minh",39,NULL,NULL,0,5,6 tỷ
177,268321,"Thủ Đức, TP Hồ Chí Minh",50,NULL,4,0,3,5900000 tỷ
178,268319,"Từ Sơn, Bắc Ninh",135,NULL,NULL,0,NULL,6.9 tỷ
179,268318,"Thanh Xuân, Hà Nội",64,4,3,0,4,7.15 tỷ
180,268317,"Gò Vấp, TP Hồ Chí Minh",48,2,2,0,2,Thỏa thuận
181,268315,"Gò Vấp, TP Hồ Chí Minh",48,2,2,0,1,4.75 tỷ
182,268314,"Long Biên, Hà Nội",125,3,NULL,0,3,20 tỷ
183,268313,"Phú Nhuận, TP Hồ Chí Minh",37,1,2,0,2,Thỏa thuận
184,268307,"Gò Vấp, TP Hồ Chí Minh",61,3,2,0,2,4.8 tỷ
185,268306,"Bình Tân, TP Hồ Chí Minh",60,NULL,NULL,1,NULL,4.1 tỷ
186,268304,"Cầu Giấy, Hà Nội",33,3,4,0,NULL,3.5 tỷ
187,268303,"Long Biên, Hà Nội",83,NULL,NULL,1,7,10 tỷ
188,268302,"Gò Vấp, TP Hồ Chí Minh",49,2,2,0,2,5.2 tỷ
189,268301,"Hà Đông, Hà Nội",33,3,3,1,4,3.3 tỷ
190,268300,"Tân Phú, TP Hồ Chí Minh",60,2,2,0,NULL,4.1 tỷ
191,268299,"Quận 12, TP Hồ Chí Minh",98,3,2,0,NULL,10 triệu
192,268298,"Gò Vấp, TP Hồ Chí Minh",40,2,NULL,0,2,Thỏa thuận
193,268296,"Bình Thạnh, TP Hồ Chí Minh",40,8,8,0,5,6.1 tỷ
194,268295,"Bình Thạnh, TP Hồ Chí Minh",32,2,2,0,2,2.5 tỷ
195,268294,"Tân Uyên, Bình Dương",61,2,3,1,8,2.47 tỷ
196,268293,"Tân Uyên, Bình Dương",61,2,3,1,NULL,2.47 tỷ
197,268291,"Thanh Xuân, Hà Nội",81,8,7,0,8,15.3 tỷ
198,268290,"Lê Chân, Hải Phòng",54,4,3,1,4,4.5 tỷ
199,268285,"Quận 11, TP Hồ Chí Minh",120,2,2,1,5,24.6 tỷ
200,268283,"Thanh Xuân, Hà Nội",78,4,NULL,1,4,10.8 tỷ
201,268280,"Đức Hòa, Long An",100,4,3,0,5,890 triệu
202,268277,"Bình Thạnh, TP Hồ Chí Minh",55,5,5,1,3,Thỏa thuận
203,268274,"Tân Phú, TP Hồ Chí Minh",34,2,3,1,4,4.35 tỷ
204,268270,"Vĩnh Cửu, Đồng Nai",126,2,2,0,2,1.05 tỷ
205,268269,"Bình Thạnh, TP Hồ Chí Minh",20,2,3,0,3,2.98 tỷ
206,268267,"Thủ Đức, TP Hồ Chí Minh",207,2,2,1,NULL,13.6 tỷ
207,268266,"Tân Uyên, Bình Dương",62,2,3,1,8,2.47 tỷ
208,268265,"Tân Uyên, Bình Dương",62,2,3,1,NULL,2.47 tỷ
209,268264,"Hồng Bàng, Hải Phòng",60,4,4,0,4,6.1 tỷ
210,268259,"Thanh Xuân, Hà Nội",51,4,3,0,4,5.45 tỷ
211,268258,"Gò Vấp, TP Hồ Chí Minh",66,4,6,0,5,12.5 tỷ
212,268255,"Tân Bình, TP Hồ Chí Minh",90,16,NULL,1,6,14.5 tỷ
213,268254,"Tân Bình, TP Hồ Chí Minh",94,3,2,1,2,6.3 tỷ
214,268253,"Hoàng Mai, Hà Nội",34,3,4,1,1,3.5 tỷ
215,268252,"Cẩm Lệ, Đà Nẵng",250,3,3,0,NULL,15.2 tỷ
216,268251,"Cầu Giấy, Hà Nội",31,3,4,0,5,4 tỷ
217,268249,"Bình Tân, TP Hồ Chí Minh",45,3,2,0,2,2.6 tỷ
218,268244,"Bình Tân, TP Hồ Chí Minh",43,4,NULL,0,5,4.9 tỷ
219,268239,"Tây Hồ, Hà Nội",40,4,NULL,1,5,10.2 tỷ
220,268238,"Bình Tân, TP Hồ Chí Minh",64,2,2,1,3,4.5 tỷ
221,268232,"Thanh Xuân, Hà Nội",61,4,4,0,5,6.57 tỷ
222,268224,"Long Biên, Hà Nội",41,NULL,NULL,0,NULL,4.6 tỷ
223,268222,"Gò Vấp, TP Hồ Chí Minh",80,NULL,NULL,1,2,Thỏa thuận
224,268220,"Gò Vấp, TP Hồ Chí Minh",51,4,6,1,5,8.99 tỷ
225,268219,"Thủ Đức, TP Hồ Chí Minh",525,NULL,NULL,1,NULL,18 tỷ
226,268216,"Long Biên, Hà Nội",80,4,5,1,5,11.4 tỷ
227,268211,"Biên Hòa, Đồng Nai",90,3,NULL,0,2,1100 tỷ
228,268210,"Hải Châu, Đà Nẵng",70,NULL,NULL,0,NULL,2.1 tỷ
229,268208,"Quận 9, TP Hồ Chí Minh",43,2,1,1,NULL,2.4 tỷ
230,268207,"Cầu Giấy, Hà Nội",96,9,9,0,2,24 tỷ
231,268203,"Thủ Đức, TP Hồ Chí Minh",128,2,3,0,2,9000000 tỷ
232,268201,"Tân Phú, TP Hồ Chí Minh",49,4,3,0,4,5.4 tỷ
233,268193,"Bình Tân, TP Hồ Chí Minh",64,2,2,1,3,4.5 tỷ
234,268191,"Thủ Đức, TP Hồ Chí Minh",30,2,1,0,2,3100000 tỷ
235,268190,"Gò Vấp, TP Hồ Chí Minh",68,5,4,0,4,6.4 tỷ
236,268189,"Thanh Xuân, Hà Nội",45,4,NULL,0,5,4.4 tỷ
237,268188,"Long Biên, Hà Nội",102,2,NULL,1,4,9.6 tỷ
238,268187,"Gò Vấp, TP Hồ Chí Minh",77,5,4,0,4,9.8 tỷ
239,268185,"Gò Vấp, TP Hồ Chí Minh",38,2,2,0,2,3.5 tỷ
240,268183,"Thanh Xuân, Hà Nội",36,2,NULL,0,3,4.3 tỷ
241,268182,"Thanh Xuân, Hà Nội",35,3,1,0,4,3.75 tỷ
242,268181,"Thanh Xuân, Hà Nội",35,3,1,0,4,3.75 tỷ
243,268175,"Hồng Bàng, Hải Phòng",59,4,4,0,4,5.95 tỷ
244,268174,"Bình Thạnh, TP Hồ Chí Minh",43,3,2,1,3,Thỏa thuận
245,268173,"Tân Phú, TP Hồ Chí Minh",41,2,2,1,NULL,2.65 tỷ
246,268167,"Lê Chân, Hải Phòng",41,4,3,0,4,4.1 tỷ
247,268165,"Hà Đông, Hà Nội",35,3,4,1,5,4.8 tỷ
248,268164,"Dĩ An, Bình Dương",160,2,2,0,2,52000000 tỷ
249,268162,"Hà Đông, Hà Nội",32,NULL,NULL,0,NULL,3.7 tỷ
250,268160,"Long Biên, Hà Nội",46,NULL,NULL,1,NULL,4.8 tỷ
251,268157,"Tân Bình, TP Hồ Chí Minh",56,4,3,0,3,5.5 tỷ
252,268156,"Hoàng Mai, Hà Nội",45,3,4,1,5,4.45 tỷ
253,268155,"Gò Vấp, TP Hồ Chí Minh",36,4,4,0,5,5.5 tỷ
254,268154,"Hoàng Mai, Hà Nội",33,3,4,1,5,3.2 tỷ
255,268153,"Quận 10, TP Hồ Chí Minh",46,2,3,0,2,Thỏa thuận
256,268152,"Bình Chánh, TP Hồ Chí Minh",100,3,2,0,2,2.4 tỷ
257,268151,"Hà Đông, Hà Nội",35,NULL,NULL,0,4,4.35 tỷ
258,268150,"Bình Thạnh, TP Hồ Chí Minh",38,2,2,0,2,48 tỷ
259,268149,"Gò Vấp, TP Hồ Chí Minh",45,2,2,0,2,5.8 tỷ
260,268148,"Từ Sơn, Bắc Ninh",90,NULL,NULL,0,3,6280000000 tỷ
261,268147,"Gò Vấp, TP Hồ Chí Minh",35,2,2,1,2,4.35 tỷ
262,268146,"Hà Đông, Hà Nội",48,4,4,0,6,10 tỷ
263,268145,"Gò Vấp, TP Hồ Chí Minh",42,2,2,1,2,4.98 tỷ
264,268144,"Gò Vấp, TP Hồ Chí Minh",42,2,2,1,2,4.98 tỷ
265,268143,"Long Biên, Hà Nội",47,2,NULL,1,4,6.2 tỷ
266,268141,"Bình Thạnh, TP Hồ Chí Minh",28,2,1,0,2,Thỏa thuận
267,268140,"Thanh Xuân, Hà Nội",60,4,4,0,5,11 tỷ
268,268137,"Quận 3, TP Hồ Chí Minh",34,3,3,1,NULL,3.35 tỷ
269,268136,"Thủ Đức, TP Hồ Chí Minh",230,NULL,NULL,1,5,23 tỷ
270,268132,"Quận 3, TP Hồ Chí Minh",27,3,2,0,4,3.3 tỷ
271,268129,"Vĩnh Cửu, Đồng Nai",120,3,2,0,NULL,1080 tỷ
272,268128,"Vĩnh Cửu, Đồng Nai",120,3,2,0,NULL,1080 tỷ
273,268127,"Thanh Xuân, Hà Nội",42,3,4,0,5,4.73 tỷ
274,268120,"Tân Bình, TP Hồ Chí Minh",43,3,NULL,1,2,4.6 tỷ
275,268119,"Gò Vấp, TP Hồ Chí Minh",47,4,3,0,4,6.5 tỷ
276,268118,"Thanh Xuân, Hà Nội",74,4,4,1,4,9.2 tỷ
277,268117,"Đống Đa, Hà Nội",40,2,NULL,1,5,4.2 tỷ
278,268116,"Bình Thạnh, TP Hồ Chí Minh",40,5,5,0,5,5.9 tỷ
279,268115,"Bình Thạnh, TP Hồ Chí Minh",88,7,5,0,5,8.5 tỷ
280,268114,"Long Biên, Hà Nội",36,3,4,1,5,4.4 tỷ
281,268113,"Gò Vấp, TP Hồ Chí Minh",43,3,2,0,3,5.1 tỷ
282,268112,"Thanh Trì, Hà Nội",35,4,5,0,5,3.55 tỷ
283,268110,"Bình Thạnh, TP Hồ Chí Minh",38,2,2,0,2,4.19 tỷ
284,268109,"Hà Đông, Hà Nội",50,5,4,1,5,8.9 tỷ
285,268108,"Quận 10, TP Hồ Chí Minh",50,5,5,0,4,10 tỷ
286,268100,"Cầu Giấy, Hà Nội",38,3,4,0,5,6 tỷ
287,268099,"Hai Bà Trưng, Hà Nội",30,1,1,0,5,3.65 tỷ
288,268097,"Hai Bà Trưng, Hà Nội",35,1,1,0,5,2 tỷ
289,268095,"Tân Phú, TP Hồ Chí Minh",42,3,2,1,3,3.6 tỷ
290,268093,"Gò Vấp, TP Hồ Chí Minh",52,3,2,0,2,5.4 tỷ
291,268092,"Gò Vấp, TP Hồ Chí Minh",64,2,2,0,2,2.82 tỷ
292,268091,"Gò Vấp, TP Hồ Chí Minh",64,4,4,0,4,6.85 tỷ
293,268089,"Gò Vấp, TP Hồ Chí Minh",45,3,3,1,3,4.7 tỷ
294,268088,"Hai Bà Trưng, Hà Nội",Area is not available,NULL,NULL,1,NULL,Thỏa thuận
295,268086,"Bình Tân, TP Hồ Chí Minh",21,3,NULL,0,4,1.6 tỷ
296,268085,"Tân Phú, TP Hồ Chí Minh",58,2,2,1,4,4.4 tỷ
297,268084,"Quận 10, TP Hồ Chí Minh",35,NULL,NULL,0,2,Thỏa thuận
298,268083,"Đống Đa, Hà Nội",55,4,4,0,5,5.23 tỷ
299,268080,"Hoàng Mai, Hà Nội",32,3,4,1,5,3.65 tỷ
300,268079,"Cầu Giấy, Hà Nội",37,3,4,1,5,5.95 tỷ
301,268078,"Bình Thạnh, TP Hồ Chí Minh",72,2,1,0,NULL,4.4 tỷ
302,268076,"Quận 10, TP Hồ Chí Minh",50,6,5,0,5,9 tỷ
303,268075,"Bình Thạnh, TP Hồ Chí Minh",15,2,2,0,2,Thỏa thuận
304,268074,"Tân Bình, TP Hồ Chí Minh",54,NULL,NULL,1,2,6.4 tỷ
305,268073,"Long Biên, Hà Nội",78,2,NULL,1,4,Thỏa thuận
306,268072,"Tân Bình, TP Hồ Chí Minh",54,NULL,NULL,1,2,6.4 tỷ
307,268067,"Hóc Môn, TP Hồ Chí Minh",40,2,3,0,NULL,550 triệu
308,268066,"Quận 2, TP Hồ Chí Minh",78,2,2,0,2,5 tỷ
309,268065,"Gò Vấp, TP Hồ Chí Minh",20,2,2,0,2,2.4 tỷ
310,268064,"Gò Vấp, TP Hồ Chí Minh",62,4,5,0,4,8.5 tỷ
311,268063,"Hải Châu, Đà Nẵng",70,NULL,NULL,0,NULL,2.1 tỷ
312,268062,"Bình Tân, TP Hồ Chí Minh",49,3,NULL,1,3,4.4 tỷ
313,268061,"Quận 3, TP Hồ Chí Minh",41,3,3,0,3,5.5 tỷ
314,268060,"Tân Phú, TP Hồ Chí Minh",40,3,3,0,4,4.5 tỷ
315,268059,"Quận 3, TP Hồ Chí Minh",41,3,3,0,3,5.5 tỷ
